"from","to"
"Slc12a3","Wnk1"
"Slc2a4","Wnk1"
"Clic5","Tprn"
"Prkaa1","Herpud1"
"Capn2","Sptbn1"
"Add1","Sptbn1"
"Hsp90aa1","Mast2"
"Dnajb4","Timmdc1"
"Flnc","Hspb7"
"Sorbs2","Sorbs3"
