"from","to"
"Gstp1","Tia1"
"Sirt2","Tia1"
"Mecr","Gpd2"
"Dlat","Gpd2"
"Dlst","Gpd2"
"Idh1","Gpd2"
"Aldh5a1","Gpd2"
"Aldh2","Gpd2"
"Prdx6","Gpd2"
"Tia1","Gpd2"
"Tia1","Nampt"
"Bin1","Gls"
"Gnao1","Gls"
"Phb2","Comp"
"Ndufs1","Comp"
"Acat1","Comp"
"Anxa1","Comp"
"Acaa2","Comp"
"Aco2","Comp"
"Prdx2","Comp"
"Bin1","Mast2"
"Bin1","Obsl1"
"Atg16l1","Bckdk"
"Mrps35","Bckdk"
"Acaca","Bckdk"
"Idh3g","Bckdk"
"Dlat","Bckdk"
"Pdhb","Bckdk"
"Pdha1","Bckdk"
"Atg16l1","Eif4g2"
"Itgb1","Eif4g2"
"Snd1","Eif4g2"
"Bin1","Fnbp1l"
"Atg16l1","Pdhx"
"Bin1","Pdhx"
"Hdac6","Pdhx"
"Adam10","Pdhx"
"Dlat","Pdhx"
"Pdhb","Pdhx"
"Dld","Pdhx"
"Pdha1","Pdhx"
"Acadvl","Eci1"
"Acaa2","Eci1"
"Decr1","Eci1"
"Got2","Eci1"
"Hnrnpd","Hadh"
"Acadvl","Hadh"
"Mdh2","Hadh"
"Aco2","Hadh"
"Decr1","Hadh"
"Got2","Hadh"
"Aldh2","Hadh"
