"from","to"
"Psmd13","Psma3"
"Slc25a5","Psma3"
"Actb","Mvp"
"Bin1","Mvp"
"Lgals3bp","Mvp"
"Bin1","Pdcd6ip"
"Itgb1","Pdcd6ip"
"Myh9","Arpc4"
"Myh10","Arpc4"
"Actb","Actr2"
"Myh9","Actr2"
"Myh10","Actr2"
"Itga5","Actr2"
"Arpc4","Actr2"
"Atg16l1","Ptbp1"
"Pcbp1","Ptbp1"
"Tardbp","Ptbp1"
"Atg16l1","Ckap4"
"Prpf8","Sart1"
"Amot","Sart1"
"Usp8","Chmp2b"
"Hnrnpd","Chmp2b"
"Jup","Chmp2b"
"Papss1","Chmp2b"
"Hdac6","Ifih1"
"Sart1","Ifih1"
"Nup214","Nup85"
"Actb","G6pdx"
"Bin1","G6pdx"
"Bin1","Prkca"
"Mapk1","Prkca"
"Marcks","Prkca"
"Gnas","Rapgef4"
"Adam10","Rapgef4"
"Map3k7","Pebp1"
"Map2k1","Pebp1"
"Atg16l1","Vav1"
"Mapk14","Vav1"
"Sorbs2","Vav1"
"Actb","Cap2"
"Hnrnpd","Cap2"
"Cfl2","Cap2"
"Nckap1","Cap2"
"Cav1","Tsg101"
"Dlat","Tsg101"
"Sqstm1","Tsg101"
"Chmp2b","Tsg101"
"Bin1","Aspscr1"
"Slc2a4","Aspscr1"
"Lnpep","Aspscr1"
"Bin1","Mrs2"
"Hnrnpd","Timm8b"
"Col18a1","Gpc4"
"Ndufs2","Cisd1"
"Ndufb7","Cisd1"
"Ndufa10","Cisd1"
"Ndufs1","Cisd1"
"Ndufs7","Cisd1"
"Cyc1","Cisd1"
"Hnrnpd","Cisd1"
"Ldhb","Cisd1"
"Idh3g","Cisd1"
"Idh3a","Cisd1"
"Aco2","Cisd1"
"Cisd1","Cpt1b"
"Bin1","Crip2"
"Atg16l1","Fkbp15"
"Bin1","Fkbp15"
"Dock7","Fkbp15"
"Lmna","Lmnb2"
"Hnrnpd","Dnaja4"
"Atg16l1","Trim28"
"Emd","Trim28"
"Pcna","Trim28"
"Lmna","Trim28"
"Fth1","Trim28"
"Mcm3","Trim28"
"Atp1a1","Fxyd1"
"Pten","Idh1"
"Adam10","Idh1"
"Atg16l1","Nap1l1"
"Myh10","Nap1l1"
"Pten","Nap1l1"
"Pten","Pgk1"
"Actb","Cap1"
"Cfl1","Cap1"
"Hsp90b1","Cap1"
"Iqgap1","Cap1"
"Pten","Cap1"
"Cap2","Cap1"
"Slc25a13","Slc25a4"
"Gnao1","Slc25a4"
"Ndufs7","Slc25a4"
"Cyc1","Slc25a4"
"Pten","Slc25a4"
"Acadvl","Slc25a4"
"Acaa2","Slc25a4"
"Cycs","Slc25a4"
"Mdh2","Slc25a4"
"Fh1","Slc25a4"
"Idh3a","Slc25a4"
"Aco2","Slc25a4"
"Slc25a5","Slc25a4"
"Decr1","Slc25a4"
"Cisd1","Slc25a4"
"Gnao1","Ndufa4"
"Ndufs4","Ndufa4"
"Ndufs2","Ndufa4"
"Ndufb7","Ndufa4"
"Ndufa10","Ndufa4"
"Ndufs1","Ndufa4"
"Ndufs7","Ndufa4"
"Ndufc2","Ndufa4"
"Ndufv2","Ndufa4"
"Cyc1","Ndufa4"
"Aifm1","Ndufa4"
"Park7","Ndufa4"
